customer_id,tenure_months,contract_type,monthly_charges,support_calls,payment_delay_days,is_senior_citizen,has_addon_services,churned
CUST_00062,56,Two year,454.63,1,14,0,0,0
CUST_00063,8,Two year,1730.4,2,0,0,1,1
CUST_00064,14,Two year,2273.08,4,23,0,0,1
CUST_00065,17,Two year,2322.88,0,6,0,1,1
CUST_00066,52,Month-to-month,1612.66,3,13,0,0,0
CUST_00067,23,Month-to-month,2924.62,1,2,0,0,1
CUST_00068,36,Month-to-month,1016.23,3,19,1,1,0
CUST_00069,49,Month-to-month,844.06,2,18,0,0,1
CUST_00070,40,One year,1790.3,4,28,0,0,1
CUST_00071,35,Month-to-month,2671.97,2,9,0,1,1
CUST_00072,28,Two year,478.36,0,6,0,0,0
CUST_00073,67,Two year,318.13,3,16,0,1,0
CUST_00074,15,One year,1202.82,3,29,0,1,1
CUST_00075,57,Two year,2446.39,1,24,0,1,1
CUST_00076,13,Month-to-month,970.85,2,18,0,1,1
CUST_00077,34,Month-to-month,,0,22,1,1,0
CUST_00078,46,One year,310.77,2,25,0,1,1
CUST_00079,21,Two year,1054.61,0,19,0,0,0
CUST_00080,20,Two year,642.79,3,6,0,0,1
CUST_00081,13,Month-to-month,2420.07,2,18,0,0,1
CUST_00082,2,Two year,2847.05,2,11,0,1,0
CUST_00083,19,Month-to-month,783.4,0,9,0,1,1
CUST_00084,14,Month-to-month,,3,13,0,1,1
CUST_00085,47,Month-to-month,2951.26,1,28,1,1,1
CUST_00086,66,One year,2240.06,4,20,0,0,0
CUST_00087,2,One year,944.01,0,28,0,0,0
CUST_00088,51,One year,1094.03,1,10,0,0,1
CUST_00089,29,One year,499.6,2,26,0,0,0
CUST_00090,42,One year,962.78,3,0,0,0,0
CUST_00091,69,One year,1501.04,3,7,0,1,0
CUST_00092,29,One year,1659.4,2,8,1,0,1
CUST_00093,9,One year,2185.38,1,4,0,1,0
CUST_00094,59,Month-to-month,2182.06,0,7,0,1,0
CUST_00095,64,Month-to-month,1839.17,1,26,0,0,1
CUST_00096,19,Two year,462.28,1,0,0,1,0
CUST_00097,42,One year,2494.26,1,29,0,0,0
CUST_00098,45,One year,548.35,0,8,0,0,0
CUST_00099,10,Month-to-month,1324.19,2,11,0,0,1
CUST_00100,1,One year,2770.48,4,28,0,0,1
CUST_00101,2,Month-to-month,2049.58,1,1,0,0,1
CUST_00102,46,Two year,819.39,3,21,0,0,0
CUST_00103,44,Two year,2724.85,1,29,0,1,1
CUST_00104,70,Month-to-month,1592.26,1,10,0,1,0
CUST_00105,43,Month-to-month,1691.68,1,16,0,0,0
CUST_00106,51,Month-to-month,1017.13,0,21,1,1,0
CUST_00107,34,One year,1346.82,3,27,1,0,1
CUST_00108,6,Month-to-month,1701.45,0,19,0,1,1
CUST_00109,24,One year,1988.29,3,14,0,0,0
CUST_00110,42,Two year,636.69,0,1,0,0,0
CUST_00111,50,Two year,2646.34,2,10,0,1,0
CUST_00112,23,Month-to-month,313.51,5,9,0,0,0
CUST_00113,10,Month-to-month,324.05,2,22,0,0,1
CUST_00114,66,One year,481.37,0,25,1,1,0
CUST_00115,17,Month-to-month,1371.89,3,15,0,1,1
CUST_00116,2,Two year,1927.14,3,2,0,1,0
CUST_00117,30,Two year,497.89,1,25,0,0,0
CUST_00118,1,Two year,1342.43,0,6,0,0,1
CUST_00119,47,Month-to-month,2460.03,1,15,0,1,0
CUST_00120,7,One year,2517.14,1,28,1,1,0
CUST_00121,23,Month-to-month,573.47,0,16,0,1,1
CUST_00122,25,Month-to-month,2713.08,3,23,0,0,1
CUST_00123,52,One year,2498.65,2,15,0,0,0
CUST_00124,63,Month-to-month,2044.99,0,29,0,1,0
CUST_00125,49,One year,1526.21,2,6,0,1,0
CUST_00126,41,One year,980.7,3,15,1,0,1
CUST_00127,17,Two year,2320.85,2,1,1,0,0
CUST_00128,48,One year,1706.99,3,15,0,0,0
CUST_00129,53,Month-to-month,792.23,2,29,0,1,1
CUST_00130,4,Month-to-month,2215.83,3,22,0,0,1
CUST_00131,42,One year,1868.93,0,9,0,1,0
CUST_00132,13,Two year,371.01,1,25,0,1,0
CUST_00133,7,Two year,487.79,0,0,1,0,0
CUST_00134,28,Month-to-month,1475.82,1,2,0,0,1
CUST_00135,57,Month-to-month,749.24,3,10,0,0,0
CUST_00136,45,One year,1877.34,0,12,0,0,0
CUST_00137,64,Month-to-month,2562.75,1,13,0,1,0
CUST_00138,54,Month-to-month,495.88,8,1,0,0,1
CUST_00139,25,One year,1069.18,2,22,0,1,0
CUST_00140,41,Month-to-month,490.75,3,25,1,1,0
CUST_00141,21,One year,734.72,5,29,0,1,0
CUST_00142,20,Two year,2628.66,4,28,1,1,0
CUST_00143,47,Month-to-month,2800.45,1,26,0,1,1
CUST_00144,13,Month-to-month,1520.49,1,24,0,1,1
CUST_00145,30,One year,1176.12,2,25,0,0,0
CUST_00146,30,Month-to-month,842.3,0,25,0,1,1
CUST_00147,36,Two year,588.0,0,20,1,0,0
CUST_00148,19,Month-to-month,673.82,5,12,0,1,1
CUST_00149,17,One year,397.58,5,20,0,1,0
CUST_00150,54,Month-to-month,388.83,2,17,0,0,1
CUST_00151,36,Two year,837.32,3,27,0,1,0
CUST_00152,64,Month-to-month,1295.37,1,3,0,0,1
CUST_00153,35,Month-to-month,2602.52,1,2,0,0,1
CUST_00154,58,Month-to-month,2238.26,4,29,0,1,1
CUST_00155,57,Two year,1216.92,0,17,0,0,0
CUST_00156,9,Two year,2754.79,3,15,0,1,0
CUST_00157,58,One year,1189.53,1,6,0,1,0
CUST_00158,56,One year,2574.39,1,3,0,1,0
CUST_00159,45,Month-to-month,519.62,4,3,0,0,1
CUST_00160,2,Month-to-month,2047.78,4,13,0,0,1
CUST_00161,61,One year,1629.77,3,28,0,1,0
CUST_00162,10,Month-to-month,2441.26,2,11,1,0,1
CUST_00163,64,Two year,2363.08,1,8,0,0,0
CUST_00164,50,Month-to-month,2989.63,1,27,0,0,1
CUST_00165,26,One year,999.18,0,21,0,1,0
CUST_00166,23,Two year,568.39,1,24,0,0,1
CUST_00167,40,One year,692.39,0,6,0,0,1
CUST_00168,59,One year,1273.48,5,26,0,1,1
CUST_00169,23,Two year,2177.45,0,24,0,1,0
CUST_00170,49,Two year,2774.72,2,13,0,1,1
CUST_00171,28,Two year,900.71,0,24,0,0,0
CUST_00172,46,Month-to-month,1736.37,2,4,0,1,0
CUST_00173,47,Month-to-month,306.84,1,25,0,1,0
CUST_00174,43,Month-to-month,337.97,4,21,1,1,1
CUST_00175,16,Month-to-month,337.0,2,0,0,0,0
CUST_00176,65,Two year,599.43,1,12,0,1,0
CUST_00177,41,Two year,692.64,3,8,0,1,0
CUST_00178,60,Two year,2345.57,4,7,0,0,0
CUST_00179,29,Two year,1574.38,3,22,0,1,0
CUST_00180,3,Month-to-month,1765.64,1,29,1,0,1
CUST_00181,68,Two year,2657.05,2,0,0,0,1
CUST_00182,70,Month-to-month,2039.36,1,7,0,1,0
CUST_00183,53,Two year,1666.84,1,14,0,0,0
CUST_00184,31,Month-to-month,1059.87,1,15,0,0,1
CUST_00185,45,Month-to-month,1681.23,2,11,0,1,1
CUST_00186,21,One year,1138.43,3,9,0,1,0
CUST_00187,17,One year,2271.69,0,27,0,0,0
CUST_00188,62,Month-to-month,1905.01,0,13,0,0,1
CUST_00189,16,Month-to-month,697.44,2,25,0,1,1
CUST_00190,66,One year,2129.72,0,11,0,0,0
CUST_00191,44,Month-to-month,940.8,2,11,1,1,0
CUST_00192,55,Month-to-month,1594.28,2,3,0,0,0
CUST_00193,13,Month-to-month,1264.61,3,2,0,1,1
CUST_00194,52,Month-to-month,1092.39,0,2,1,0,0
CUST_00195,51,One year,2134.44,0,14,0,0,0
CUST_00196,1,Month-to-month,1635.41,1,23,0,0,1
CUST_00197,69,Month-to-month,1691.99,3,24,0,1,1
CUST_00198,20,Month-to-month,1825.2,1,14,0,0,0
CUST_00199,53,Month-to-month,1811.04,0,27,0,0,0
CUST_00200,58,One year,1011.57,1,15,0,1,1
CUST_00201,21,Month-to-month,2336.44,3,20,0,1,1
CUST_00202,71,Month-to-month,,1,13,0,1,0
CUST_00203,27,One year,351.86,3,23,1,0,0
CUST_00204,20,Month-to-month,2549.8,2,17,0,1,1
CUST_00205,44,Two year,1886.24,4,12,0,0,0
CUST_00206,55,One year,1278.61,3,10,0,0,0
CUST_00207,66,Two year,1261.95,0,8,0,1,0
CUST_00208,9,One year,623.65,2,2,0,1,0
CUST_00209,4,One year,2993.81,1,14,0,1,1
CUST_00210,54,Two year,892.5,3,0,0,1,0
CUST_00211,67,Month-to-month,949.15,2,12,0,0,1
CUST_00212,26,Month-to-month,1949.26,1,0,0,1,0
CUST_00213,2,One year,687.4,1,9,0,0,0
CUST_00214,6,Month-to-month,1222.24,1,21,0,1,0
CUST_00215,7,Two year,1350.04,2,21,0,0,1
CUST_00216,13,Two year,1874.72,2,4,0,0,0
CUST_00217,20,Two year,2618.61,1,4,0,0,0
CUST_00218,41,One year,1834.74,1,16,0,0,1
CUST_00219,13,One year,2033.43,1,19,0,0,0
CUST_00220,34,One year,2123.02,0,1,0,0,0
CUST_00221,70,Month-to-month,951.65,1,14,0,1,0
CUST_00222,49,Two year,810.4,2,27,0,1,0
CUST_00223,2,One year,2654.37,0,23,1,0,1
CUST_00224,25,One year,2762.93,2,13,1,1,0
CUST_00225,50,Two year,2948.81,1,8,0,0,1
CUST_00226,43,Month-to-month,2117.7,2,5,0,1,1
CUST_00227,22,Month-to-month,572.18,3,9,0,0,1
CUST_00228,27,Two year,1899.83,0,28,0,0,1
CUST_00229,22,One year,2931.52,0,28,1,1,0
CUST_00230,55,One year,1520.55,1,1,0,0,1
CUST_00231,60,Month-to-month,955.87,1,1,1,1,0
CUST_00232,1,Month-to-month,590.53,1,26,1,1,1
CUST_00233,57,Month-to-month,538.9,2,25,0,0,0
CUST_00234,42,Month-to-month,2304.86,1,21,1,0,0
CUST_00235,38,Month-to-month,2738.08,1,28,1,0,1
CUST_00236,42,Two year,2371.35,2,11,0,0,0
CUST_00237,21,Month-to-month,2694.69,0,1,0,0,0
CUST_00238,5,Month-to-month,2930.24,1,15,0,1,1
CUST_00239,20,Month-to-month,456.26,2,2,0,1,0
CUST_00240,55,Month-to-month,1785.81,0,8,1,0,0
CUST_00241,58,One year,1195.92,2,24,0,0,0
CUST_00242,46,Month-to-month,1635.98,1,10,0,0,0
CUST_00243,41,Month-to-month,547.64,1,9,0,1,0
CUST_00244,68,Month-to-month,662.79,1,5,0,1,0
CUST_00245,50,One year,1413.14,0,5,0,1,0
CUST_00246,14,One year,996.37,3,1,0,1,0
CUST_00247,49,Month-to-month,2714.28,2,28,0,1,0
CUST_00248,31,Two year,1927.53,0,11,0,0,0
CUST_00249,30,One year,395.17,3,16,0,1,0
CUST_00250,62,Month-to-month,1839.1,1,12,1,0,0
CUST_00251,71,Two year,2943.98,1,13,0,0,0
CUST_00252,68,One year,571.21,1,16,0,0,0
CUST_00253,26,Two year,2077.16,2,18,0,1,0
CUST_00254,49,Month-to-month,1009.27,0,2,0,1,0
CUST_00255,33,One year,503.36,2,20,0,1,0
CUST_00256,26,Month-to-month,2935.42,1,5,0,1,1
CUST_00257,50,Month-to-month,644.32,1,25,0,0,1
CUST_00258,53,Month-to-month,1759.56,0,0,0,1,0
CUST_00259,34,Month-to-month,1241.11,1,29,0,1,0
CUST_00260,33,Month-to-month,1234.0,0,17,0,1,1
CUST_00261,47,Month-to-month,1553.07,1,0,0,1,0
CUST_00262,38,Month-to-month,1212.8,0,28,0,0,1
CUST_00263,55,Month-to-month,2440.16,1,15,0,0,0
CUST_00264,49,Two year,1185.49,2,22,0,0,1
CUST_00265,3,One year,2990.89,2,0,0,0,0
CUST_00266,67,Month-to-month,2752.59,0,24,0,1,0
CUST_00267,64,Month-to-month,1691.33,2,27,0,0,0
CUST_00268,1,Month-to-month,2065.38,1,7,0,1,0
CUST_00269,27,Month-to-month,1066.65,1,27,0,1,0
CUST_00270,50,One year,1804.65,5,28,0,0,1
CUST_00271,5,Month-to-month,787.95,3,6,0,0,1
CUST_00272,65,Month-to-month,1968.12,2,29,0,1,1
CUST_00273,19,One year,2931.33,0,11,0,1,1
CUST_00274,27,Month-to-month,779.68,1,0,0,0,0
CUST_00275,2,Month-to-month,1674.92,0,9,0,1,0
CUST_00276,17,Month-to-month,2075.54,3,7,0,1,1
CUST_00277,4,Two year,1854.85,4,27,0,0,1
CUST_00278,41,Month-to-month,2970.25,0,6,0,0,1
CUST_00279,70,Month-to-month,2055.51,1,17,0,0,0
CUST_00280,3,One year,2558.79,2,8,0,0,1
CUST_00281,44,Two year,2472.26,1,14,1,0,1
CUST_00282,58,Month-to-month,1243.8,1,17,0,1,1
CUST_00283,56,Two year,496.76,2,13,0,1,0
CUST_00284,35,Month-to-month,1428.3,0,19,0,0,0
CUST_00285,15,One year,408.43,1,2,0,1,0
CUST_00286,48,Two year,2866.07,0,1,1,0,0
CUST_00287,29,Month-to-month,2500.11,1,7,1,0,0
CUST_00288,56,Month-to-month,1404.12,1,17,0,0,1
CUST_00289,38,Two year,2932.9,2,4,0,0,0
CUST_00290,2,Month-to-month,2133.48,0,0,0,0,1
CUST_00291,58,One year,525.57,1,6,0,0,0
CUST_00292,14,One year,2365.91,2,13,1,1,0
CUST_00293,40,Month-to-month,1051.53,3,9,0,1,1
CUST_00294,30,One year,1748.36,2,22,0,1,0
CUST_00295,9,Month-to-month,2155.47,2,23,0,1,1
CUST_00296,44,Month-to-month,2572.37,0,2,1,1,1
CUST_00297,65,Two year,1439.01,3,2,0,0,0
CUST_00298,27,One year,1093.51,3,7,0,1,1
CUST_00299,38,Two year,1342.98,2,6,0,0,0
CUST_00300,20,Two year,1888.59,2,7,1,1,1
CUST_00301,26,Month-to-month,573.4,0,18,0,1,0
CUST_00302,2,Month-to-month,2647.81,1,7,1,1,1
CUST_00303,54,Two year,510.32,3,19,0,0,0
CUST_00304,31,Month-to-month,2703.31,1,28,0,1,1
CUST_00305,30,One year,2262.05,2,6,0,0,1
CUST_00306,67,Month-to-month,2123.79,3,22,0,1,1
CUST_00307,29,Two year,749.91,1,9,0,1,0
CUST_00308,3,Month-to-month,1438.24,0,21,0,0,0
CUST_00309,51,Two year,963.59,2,7,0,0,0
CUST_00310,43,Two year,845.08,2,29,0,0,1
CUST_00311,35,Month-to-month,2602.76,1,1,0,1,1
CUST_00312,15,Two year,2253.54,3,26,0,1,0
CUST_00313,53,One year,447.56,2,24,0,0,0
CUST_00314,69,One year,691.23,2,2,1,0,0
CUST_00315,24,Month-to-month,2499.75,3,0,0,0,1
CUST_00316,58,One year,,1,14,0,0,0
CUST_00317,32,Month-to-month,1108.08,3,24,0,1,1
CUST_00318,16,Month-to-month,988.42,0,24,0,0,1
CUST_00319,21,Month-to-month,1913.04,1,21,0,0,1
CUST_00320,69,Two year,1171.02,1,6,0,1,0
CUST_00321,11,Month-to-month,2465.3,0,4,0,1,1
CUST_00322,23,One year,874.12,3,19,0,1,1
CUST_00323,11,Month-to-month,2391.98,0,3,0,0,1
CUST_00324,50,One year,2907.04,3,7,0,1,1
CUST_00325,29,One year,835.96,1,8,1,1,0
CUST_00326,19,Month-to-month,473.51,2,10,0,0,0
CUST_00327,9,Two year,1405.25,1,19,1,0,0
CUST_00328,21,Month-to-month,1065.28,0,15,0,0,0
CUST_00329,24,Month-to-month,1772.17,3,1,0,1,1
CUST_00330,5,Month-to-month,2205.38,0,8,0,0,0
CUST_00331,12,One year,2877.77,1,25,0,1,0
CUST_00332,21,Month-to-month,403.75,2,18,0,1,1
CUST_00333,45,Two year,710.34,4,3,0,1,0
CUST_00334,30,Month-to-month,934.65,2,9,1,1,1
CUST_00335,58,Month-to-month,2566.93,0,22,0,0,0
CUST_00336,2,Month-to-month,1931.18,1,29,0,0,1
CUST_00337,22,Month-to-month,827.88,0,22,0,0,1
CUST_00338,1,Two year,2926.69,2,8,0,0,0
CUST_00339,7,One year,2952.43,1,17,1,0,0
CUST_00340,1,One year,937.45,0,0,0,1,0
CUST_00341,43,One year,1485.85,0,3,0,0,1
CUST_00342,63,One year,2939.9,3,11,0,1,0
CUST_00343,45,Month-to-month,1039.39,0,17,1,0,1
CUST_00344,30,Month-to-month,1728.4,0,27,0,1,1
CUST_00345,21,Two year,2317.6,0,15,1,0,1
CUST_00346,66,Month-to-month,2936.35,1,2,0,0,1
CUST_00347,50,Month-to-month,1631.91,1,4,0,1,0
CUST_00348,35,One year,1108.92,1,20,0,0,1
CUST_00349,56,Month-to-month,2536.19,4,7,0,1,1
CUST_00350,40,Month-to-month,1738.06,2,1,0,0,1
CUST_00351,7,Two year,2296.68,6,28,0,0,1
CUST_00352,27,Month-to-month,1235.43,1,8,0,1,1
CUST_00353,64,Month-to-month,1890.22,3,16,0,1,0
CUST_00354,56,Month-to-month,1117.03,0,18,0,1,1
CUST_00355,7,Month-to-month,1770.69,4,10,0,1,0
CUST_00356,25,One year,2728.9,2,19,0,0,0
CUST_00357,65,Month-to-month,2088.9,2,1,0,0,0
CUST_00358,58,Month-to-month,1834.91,2,1,0,0,0
CUST_00359,6,Month-to-month,1908.68,1,15,0,1,0
CUST_00360,28,One year,1281.32,2,23,0,0,1
CUST_00361,9,One year,2905.34,5,24,0,0,1
CUST_00362,10,Month-to-month,1409.92,3,15,0,1,1
CUST_00363,17,Month-to-month,2677.33,2,1,0,1,0
CUST_00364,30,One year,462.76,2,6,0,1,0
CUST_00365,27,Two year,843.09,3,8,0,1,0
CUST_00366,3,One year,1534.64,1,22,0,0,1
CUST_00367,46,Month-to-month,2236.6,0,23,0,0,0
CUST_00368,28,Two year,1275.14,1,4,1,0,0
CUST_00369,25,Two year,2429.11,5,4,0,1,1
CUST_00370,28,Month-to-month,452.71,2,0,1,1,1
CUST_00371,16,Month-to-month,1928.05,3,14,1,1,1
CUST_00372,51,Month-to-month,2702.98,1,19,0,0,0
CUST_00373,36,Month-to-month,2174.17,1,13,1,0,1
CUST_00374,71,Month-to-month,1691.63,1,24,0,0,1
CUST_00375,67,One year,2411.14,3,25,0,0,1
CUST_00376,12,Month-to-month,1343.24,0,26,0,0,1
CUST_00377,15,Two year,1799.67,0,14,0,0,0
CUST_00378,44,One year,1696.15,2,26,0,1,1
CUST_00379,36,One year,1762.84,3,19,0,1,0
CUST_00380,60,Month-to-month,346.09,2,11,0,0,0
CUST_00381,45,Month-to-month,875.75,2,9,0,0,0
CUST_00382,49,Two year,2815.36,1,8,0,0,1
CUST_00383,28,Month-to-month,1489.02,3,5,0,1,0
CUST_00384,17,Month-to-month,2932.01,3,12,0,0,1
CUST_00385,18,One year,2340.21,1,7,0,1,0
CUST_00386,30,Month-to-month,2253.33,0,28,0,0,1
CUST_00387,39,Month-to-month,1899.65,4,12,0,0,1
CUST_00388,67,Two year,840.45,0,1,0,1,0
CUST_00389,56,Month-to-month,403.41,1,12,0,0,0
CUST_00390,37,One year,516.47,1,19,0,1,1
CUST_00391,51,Month-to-month,2265.79,1,16,0,0,0
CUST_00392,48,Month-to-month,789.36,0,22,0,0,1
CUST_00393,9,Month-to-month,367.72,4,1,0,1,1
CUST_00394,22,Month-to-month,,2,19,0,0,0
CUST_00395,49,Month-to-month,2388.97,1,16,0,1,0
CUST_00396,57,Month-to-month,2766.81,0,16,0,0,0
CUST_00397,11,Month-to-month,1989.38,2,14,0,0,0
CUST_00398,40,One year,515.92,0,20,0,1,1
CUST_00399,47,Month-to-month,1652.28,0,13,0,0,1
CUST_00400,56,Two year,1205.03,2,23,0,1,0
CUST_00401,68,One year,2958.48,2,13,0,1,0
CUST_00402,20,Month-to-month,415.29,4,0,1,0,0
CUST_00403,13,Two year,2531.52,2,15,1,1,0
CUST_00404,17,Month-to-month,,1,0,0,1,0
CUST_00405,70,Two year,1399.03,2,0,0,0,0
CUST_00406,13,One year,1397.33,1,15,0,1,0
CUST_00407,24,Two year,650.71,0,20,0,0,0
CUST_00408,43,Month-to-month,1403.66,1,29,0,1,0
CUST_00409,26,Month-to-month,2565.47,1,17,0,1,1
CUST_00410,6,Month-to-month,476.37,0,13,0,1,1
CUST_00411,12,Month-to-month,1962.58,1,23,0,1,1
CUST_00412,25,Two year,2874.14,0,17,0,1,1
CUST_00413,63,Month-to-month,1322.89,5,26,0,0,1
CUST_00414,48,One year,2951.61,1,15,0,0,0
CUST_00415,14,Month-to-month,2408.89,1,29,1,0,0
CUST_00416,20,One year,411.61,3,6,1,0,0
CUST_00417,68,Month-to-month,2774.61,1,25,0,0,0
CUST_00418,19,Month-to-month,697.71,1,18,0,1,0
CUST_00419,19,Two year,682.3,0,0,1,1,0
CUST_00420,17,Month-to-month,2637.05,1,25,0,1,1
CUST_00421,8,Month-to-month,2598.33,1,5,0,0,1
CUST_00422,34,Month-to-month,2120.34,2,18,0,0,1
CUST_00423,65,Month-to-month,617.22,1,18,0,0,0
CUST_00424,54,One year,1959.08,2,10,0,1,0
CUST_00425,46,Month-to-month,795.99,1,5,1,1,0
CUST_00426,19,One year,445.34,1,9,0,1,0
CUST_00427,53,Month-to-month,2853.46,2,13,0,0,0
CUST_00428,38,Month-to-month,2457.84,0,18,0,0,1
CUST_00429,45,Month-to-month,1758.03,2,23,0,0,1
CUST_00430,71,Month-to-month,1249.01,2,1,0,0,0
CUST_00431,65,One year,1271.52,1,20,0,0,0
CUST_00432,36,Month-to-month,1517.88,1,8,0,1,0
CUST_00433,45,One year,1184.98,2,13,0,1,0
CUST_00434,20,Two year,1757.26,2,13,0,0,1
CUST_00435,46,Month-to-month,1061.34,3,22,0,0,1
CUST_00436,60,Month-to-month,1816.34,3,26,0,1,0
CUST_00437,11,Month-to-month,2014.16,4,1,0,0,1
CUST_00438,65,Month-to-month,301.7,1,14,0,1,0
CUST_00439,1,Month-to-month,2966.26,0,9,0,1,0
CUST_00440,53,Month-to-month,1398.06,2,16,1,1,0
CUST_00441,19,Month-to-month,916.74,4,5,0,0,1
CUST_00442,24,Month-to-month,1833.85,1,23,0,0,1
CUST_00443,27,One year,1605.97,1,22,0,1,1
CUST_00444,36,One year,516.03,1,9,0,1,0
CUST_00445,45,Month-to-month,2651.54,0,0,0,1,0
CUST_00446,23,Month-to-month,2170.53,5,23,0,0,1
CUST_00447,36,One year,2564.29,3,10,0,0,1
CUST_00448,66,Month-to-month,1869.44,2,12,0,1,1
CUST_00449,48,One year,2354.87,3,26,0,1,0
CUST_00450,1,Two year,2457.64,0,11,0,0,0
CUST_00451,43,Month-to-month,1343.0,2,21,0,0,1
CUST_00452,63,One year,2734.83,3,15,0,0,1
CUST_00453,45,Month-to-month,2701.73,1,21,1,1,0
CUST_00454,19,Month-to-month,464.38,3,8,0,0,1
CUST_00455,21,One year,1375.23,2,7,0,0,0
CUST_00456,11,Month-to-month,1979.0,0,0,0,1,0
CUST_00457,47,Month-to-month,2902.15,4,2,0,1,0
CUST_00458,60,Month-to-month,366.01,5,25,0,0,1
CUST_00459,31,Month-to-month,2878.81,1,13,0,1,1
CUST_00460,57,One year,1307.51,3,12,1,0,0
CUST_00461,38,Month-to-month,1979.78,1,13,0,1,0
CUST_00462,3,Two year,1019.91,1,9,0,1,0
CUST_00463,1,Two year,1840.15,1,13,0,0,0
CUST_00464,21,Month-to-month,2804.81,0,7,0,0,0
CUST_00465,45,Month-to-month,404.38,0,12,0,0,1
CUST_00466,7,Month-to-month,2305.94,2,0,0,1,1
CUST_00467,36,Month-to-month,687.18,2,8,1,1,0
CUST_00468,54,Month-to-month,2804.57,1,21,0,1,1
CUST_00469,65,Month-to-month,2862.67,2,22,0,1,1
CUST_00470,65,One year,2915.82,2,11,0,0,0
CUST_00471,14,Month-to-month,827.33,1,18,0,0,1
CUST_00472,21,Month-to-month,2631.36,0,24,0,1,0
CUST_00473,3,Two year,1802.23,1,21,0,0,1
CUST_00474,26,Two year,,1,20,0,0,1
CUST_00475,29,Two year,643.34,1,27,0,1,0
CUST_00476,3,Month-to-month,1560.01,1,18,0,1,0
CUST_00477,62,Month-to-month,2763.29,3,13,0,0,1
CUST_00478,8,Month-to-month,1468.08,1,18,0,1,1
